index,show_id,actor
241,s242,Melissa Roxburgh
242,s243,
243,s244,Lucía Uribe
244,s245,Ahmed El Fishawy
245,s246,Paik Jong-won
246,s247,Roy Chiu
247,s248,Jason Momoa
248,s249,Sandra Oh
249,s250,Asher Bishop
250,s251,Paolo Contis
251,s252,Anton Yelchin
252,s253,Philip Froissant
253,s254,Arvind Swamy
254,s255,Alan C. Lim
255,s256,
256,s257,Idia Aisien
257,s258,Dulquer Salmaan
258,s259,Ludovica Francesconi
259,s260,Anmol Limbu
260,s261,Taylor Kitsch
261,s262,Larissa Manoela
262,s263,
263,s264,
264,s265,Elizabeth Banks
265,s266,Kaito Ishikawa
266,s267,
267,s268,Holly Hunter
268,s269,Matilda Lambert
269,s270,Liza Jacqueline
270,s271,John David Washington
271,s272,Rosa Salazar
272,s273,Tyler Posey
273,s274,Finnegan Oldfield
274,s275,Jane Fonda
275,s276,Chino Darín
276,s277,Diana Gómez
277,s278,Andria Tayeh
278,s279,Lokillo Florez
279,s280,Ben Rausch
280,s281,
281,s282,Mike Ezuruonye
282,s283,Ximena Romo
283,s284,
284,s285,Joey King
285,s286,Colin Firth
286,s287,Laila Lockhart Kraner
287,s288,Khemanit Jamikorn
288,s289,Amparo Grisales
289,s290,Yeo Jin-goo
290,s291,
291,s292,Yoko Hikasa
292,s293,Maggie Smith
293,s294,Enhle Mbali
294,s295,Hikaru Iwamoto
295,s296,Alain Uy
296,s297,Lior Raz
297,s298,Suriya
298,s299,Falz
299,s300,Suliane Brahim
300,s301,Lin-Manuel Miranda
301,s302,Shah Rukh Khan
302,s303,
303,s304,Luis Brandoni
304,s305,Jackie Collins
305,s306,Fernán Mirás
306,s307,Ramsey Nouah
307,s308,Ashley Greene
308,s309,David Geffen
309,s310,Mark Towle
310,s311,
311,s312,Ana Valeria Becerril
312,s313,Paris Hilton
313,s314,Ady An
314,s315,Pruitt Taylor Vince
315,s316,Genevieve Nnaji
316,s317,Roy Chiu
317,s318,
318,s319,Maximilian Schmidt
319,s320,Joe Chen
320,s321,
321,s322,Weber Yang
322,s323,Joe Chen
323,s324,Tina Fey
324,s325,Sarah Natochenny
325,s326,Charles Grodin
326,s327,Charles Grodin
327,s328,Ray Winstone
328,s329,Scott Adkins
329,s330,Leonardo DiCaprio
330,s331,Bill Hader
331,s332,Yusuke Kobayashi
332,s333,Thomas Jane
333,s334,Matthew Broderick
334,s335,Haley Lu Richardson
335,s336,Samuel L. Jackson
336,s337,Kyle Chandler
337,s338,Dane Cook
